,service_date,gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator,ObjectId
85236,2019/12/31 05:00:00+00,Red,,,Rapid Transit,Red Line,Rail,OFF_PEAK,Passenger Wait Time,123858.0,130987.0,,85237
85237,2019/12/31 05:00:00+00,Red,,,Rapid Transit,Red Line,Rail,PEAK,Passenger Wait Time,111002.0,117626.0,,85238
85238,2019/12/31 05:00:00+00,Orange,,,Rapid Transit,Orange Line,Rail,OFF_PEAK,Passenger Wait Time,91664.0,96285.0,,85239
85239,2019/12/31 05:00:00+00,Orange,,,Rapid Transit,Orange Line,Rail,PEAK,Passenger Wait Time,76221.0,81504.0,,85240
85240,2019/12/31 05:00:00+00,Green-E,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,22861.0,26435.0,,85241
85241,2019/12/31 05:00:00+00,Green-E,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,15767.0,18400.0,,85242
85242,2019/12/31 05:00:00+00,Green-D,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,15856.0,19882.0,,85243
85243,2019/12/31 05:00:00+00,Green-D,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,10340.0,13347.0,,85244
85244,2019/12/31 05:00:00+00,Green-C,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,15793.0,19125.0,,85245
85245,2019/12/31 05:00:00+00,Green-C,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,10251.0,12387.0,,85246
85246,2019/12/31 05:00:00+00,Green-B,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,7532.0,9199.0,,85247
85247,2019/12/31 05:00:00+00,Green-B,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,4640.0,5462.0,,85248
85480,2019/12/31 05:00:00+00,Blue,,,Rapid Transit,Blue Line,Rail,OFF_PEAK,Passenger Wait Time,41770.0,43079.0,,85481
85483,2019/12/31 05:00:00+00,Blue,,,Rapid Transit,Blue Line,Rail,PEAK,Passenger Wait Time,28401.0,28734.0,,85484
85750,2019/12/30 05:00:00+00,Blue,,,Rapid Transit,Blue Line,Rail,OFF_PEAK,Passenger Wait Time,41898.0,43381.0,,85751
85752,2019/12/30 05:00:00+00,Red,,,Rapid Transit,Red Line,Rail,OFF_PEAK,Passenger Wait Time,120932.0,130833.0,,85753
85756,2019/12/30 05:00:00+00,Blue,,,Rapid Transit,Blue Line,Rail,PEAK,Passenger Wait Time,28322.0,28567.0,,85757
85758,2019/12/30 05:00:00+00,Red,,,Rapid Transit,Red Line,Rail,PEAK,Passenger Wait Time,112172.0,117897.0,,85759
85764,2019/12/30 05:00:00+00,Orange,,,Rapid Transit,Orange Line,Rail,OFF_PEAK,Passenger Wait Time,89872.0,97824.0,,85765
85810,2019/12/30 05:00:00+00,Orange,,,Rapid Transit,Orange Line,Rail,PEAK,Passenger Wait Time,75695.0,81421.0,,85811
85818,2019/12/30 05:00:00+00,Green-E,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,22510.0,25684.0,,85819
85823,2019/12/30 05:00:00+00,Green-E,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,17408.0,20489.0,,85824
85828,2019/12/30 05:00:00+00,Green-D,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,15244.0,18857.0,,85829
85903,2019/12/30 05:00:00+00,Green-D,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,10730.0,14948.0,,85904
85905,2019/12/30 05:00:00+00,Green-C,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,15265.0,18373.0,,85906
85907,2019/12/30 05:00:00+00,Green-C,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,11342.0,14423.0,,85908
